sampleID,sampleLat,sampleLon,t2m_ave,t2m_var,t2m_ac,tp_ave,tp_var,tp_ac,def_ave,def_var,def_ac,ssrd_ave,ssrd_var,ssrd_ac,fc
9015,-18.8,-52.8,296.239191894531,2.75991952003244,0.140228842325337,0.00403385602009034,1.33241531357443e-05,0.0812021694260771,0.00669248632692283,2.11232921931884e-05,0.151525105469095,18339072.9733333,13126112862871,0.146910050274441,0
9016,0.6,-74.1,298.062121582031,0.829083782823189,0.270979652985329,0.0074907348350583,8.61263188189504e-06,0.0619175429720884,0.0111042853366234,8.67481315419971e-06,0.0921617441329576,15769751.0083333,11931644627427.5,0.0909636085541724,100
9017,8.2,-76.5,298.152316894531,0.378767659307324,0.607775013937582,0.00677160673687467,9.32420940788252e-06,0.165471368130717,0.0105744568637844,1.16223380887061e-05,0.204802138239582,17120850.315,9838539030371.57,0.256378182560577,64
9019,-5.7,-49.8,299.291672363281,1.64075659433137,0.409205472664778,0.00466087607529213,1.57458457489281e-05,0.0713260726378366,0.00773477789342602,1.84204300967067e-05,0.135327893934521,17499876.545,13380284467842,0.238261773700214,100
9020,-17.2,-55.6,300.071659342448,3.66632082010126,0.205123205817241,0.00332533657188947,1.04357029001279e-05,0.0669366329492318,0.00626245071749622,1.84563942267888e-05,0.17067902710946,18481208.06,13426993647600.7,0.120520802260985,29
9023,8.5,-80.2,298.063456217448,0.297051130113926,0.644517447411287,0.00672994254360674,2.12760140001357e-05,0.164771402670267,0.00976029827928869,2.5662595000371e-05,0.206002091567249,15575294.865,11762109768383.8,0.257309622328015,0
9024,-6.3,-54.7,299.162473144531,2.44485157887074,0.404377526458424,0.00557327394624432,1.83666628592076e-05,0.077444428903925,0.00879778704546273,2.1144800105583e-05,0.157891626313838,16968298.1083333,11791330115962.7,0.213264285047674,100
9029,-5.9,-61.5,299.408814290365,1.13069755397048,0.46321676760484,0.00702054385146766,1.66457841059349e-05,0.192820163559503,0.0107713432227077,1.73958014910644e-05,0.23638253125017,16016050.5516667,9674569657188.62,0.258331004782346,100
9031,-12.3,-68.1,298.367303873698,1.45416111906968,0.231609663673782,0.00545136020594024,1.6675706072044e-05,0.0665605920872234,0.0089423748516856,2.21920821136399e-05,0.137270384606808,16787233.7616667,10563517032908.8,0.172478679540511,41
9032,0.7,-56.7,298.727395019531,1.90029849706486,0.550522671820191,0.00686703129479914,2.31725490681229e-05,0.226085028134854,0.0104370084696226,2.35269752485559e-05,0.298168812336953,16949803.3283333,15505263694658.3,0.291748801410717,100
