sampleID,sampleLon,sampleLat,FC
154,-48.6000000000008,-4.59999999999997,100
155,-41.8000000000007,-22.4,0
156,-60.900000000001,-22,37
157,-64.900000000001,-1.19999999999997,100
158,-63.100000000001,-5.19999999999997,100
159,-64.100000000001,-8.69999999999996,100
160,-54.5000000000009,-18.1,59
161,-39.8000000000007,-10.4,0
162,-51.1000000000008,-19.5,0
163,-57.1000000000009,-7.69999999999996,100
164,-39.0000000000007,-5.19999999999997,26
165,-58.5000000000009,1.70000000000003,100
166,-50.9000000000008,-19.7,0
167,-68.0000000000008,3.40000000000003,100
168,-46.4000000000008,-16.5999999999999,0
169,-56.5000000000009,-15.6999999999999,0
170,-60.500000000001,-4.39999999999998,100
171,-62.500000000001,-17.8,60
172,-70.7000000000006,-9.69999999999996,100
173,-45.3000000000008,-18.7,43
174,-74.6000000000004,-13.7999999999999,0
175,-50.6000000000008,-3.69999999999998,49
176,-80.3000000000001,-4.89999999999997,0
177,-75.2000000000004,5.80000000000002,100
178,-73.1000000000005,-9.09999999999996,100
179,-41.7000000000007,-15.8999999999999,95
180,-50.3000000000008,-20.6,0
181,-58.8000000000009,-3.79999999999998,100
182,-48.9000000000008,-12.8999999999999,0
183,-58.2000000000009,-17.9,48
184,-43.7000000000007,-14.0999999999999,43
185,-46.7000000000008,-7.59999999999996,48
186,-47.2000000000008,-12.4999999999999,0
187,-70.3000000000007,-4.19999999999998,100
188,-55.1000000000009,-12.1999999999999,100
189,-75.4000000000004,-4.09999999999998,100
190,-44.0000000000007,-5.39999999999997,89
191,-53.2000000000009,-13.7999999999999,0
192,-70.2000000000007,0.500000000000026,100
193,-55.7000000000009,-4.99999999999997,100
194,-78.5000000000002,8.90000000000001,97
195,-48.4000000000008,-7.69999999999996,64
196,-78.8000000000002,-6.99999999999997,0
197,-46.6000000000008,-12.1999999999999,49
198,-71.8000000000006,4.00000000000003,80
199,-52.6000000000009,-12.0999999999999,100
200,-64.700000000001,-14.8999999999999,17
201,-58.0000000000009,-10.3,97
202,-40.7000000000007,-16.7999999999999,0
203,-55.9000000000009,-0.899999999999974,100
204,-75.9000000000003,-6.49999999999997,100
205,-70.1000000000007,-17.5,0
206,-75.5000000000004,-12.3999999999999,0
207,-78.6000000000002,-2.39999999999998,0
208,-59.100000000001,-9.79999999999996,100
209,-43.7000000000007,-2.79999999999998,69
210,-47.6000000000008,-3.69999999999998,97
211,-62.600000000001,-21.2,27
212,-74.4000000000004,2.58959520493818e-14,100
213,-63.500000000001,6.20000000000002,100
214,-64.300000000001,-15.9999999999999,82
215,-55.2000000000009,-8.59999999999996,100
216,-58.2000000000009,-2.19999999999997,100
217,-70.5000000000007,-15.0999999999999,0
218,-56.2000000000009,-6.79999999999997,100
219,-66.3000000000009,-11.5999999999999,100
220,-45.3000000000008,-22.5,0
221,-50.8000000000008,-6.29999999999997,100
222,-51.0000000000008,-2.39999999999998,100
223,-59.000000000001,3.70000000000003,100
224,-59.100000000001,-11.2,100
225,-75.2000000000004,-6.49999999999997,100
226,-65.6000000000009,-21,0
227,-53.3000000000009,-1.99999999999997,73
228,-67.9000000000008,-18.6,0
229,-35.1000000000006,-7.39999999999996,0
230,-56.3000000000009,-22.6,0
231,-58.8000000000009,-12.4999999999999,71
232,-74.3000000000004,5.50000000000002,98
233,-53.5000000000009,-11.6999999999999,100
234,-66.7000000000009,-14.9999999999999,100
235,-43.0000000000007,-10.3,47
236,-49.8000000000008,-7.09999999999997,0
237,-59.100000000001,4.30000000000003,100
238,-63.700000000001,-10.6,100
239,-48.6000000000008,-14.5999999999999,0
240,-71.5000000000006,-11.3,100
